1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
[5],[5],[5],[1.1],[5],[5],[1],[5],[2],[4],[1],[4.1],[1.1],[5],[2]
[5],[5],[5],[5],[3],[5],[2],[3],[5],[5],[2],[2],[2.1],[2.1],[2]
[5],[2.1],[5],[3],[2],[5],[5],[3],[1],[4],[5],[3],[3],[0.1],[3]
[0.1],[4],[4],[5],[4],[3.1],[4],[5],[4],[5],[3],[1.1],[2],[5],[5]
[5],[1.1],[0.1],[5],[5],[4.1],[4],[2.1],[5],[1],[0.1],[5],[0.1],[5],[5]
[5],[0.1],[2],[1.1],[5],[5],[5],[5],[2],[2],[5],[3.1],[2.1],[3],[0.10000000000000009]
[5],[0.1],[4.1],[5],[5],[5],[1.1],[2.1],[3.1],[0.1],[5],[1.1],[5],[3],[3]
[3.1],[1],[0.1],[1.1],[2.1],[4],[1],[2.1],[5],[5],[4.1],[5],[1],[5],[1.1]
[5],[1],[1.1],[2.1],[5],[5],[5],[3.0999999999999996],[5],[3.1],[3.1],[2],[2],[1],[2.1]
[5],[2],[1],[2.1],[4.1],[2],[4.1],[3],[5],[3.1],[5],[5],[3],[5],[4.1]
[3],[5],[5],[0.1],[1],[0.1],[5],[2],[4.1],[5],[5],[5],[4.1],[3],[4]
[5],[5],[1.1],[4],[5],[5],[5],[2],[5],[5],[0.1],[5],[0.1],[2],[1.1]
[1.1],[2.1],[5],[5],[5],[5],[5],[0.1],[3],[5],[0.1],[3],[2],[1],[1.1]
[1.1],[3],[5],[1],[2.1],[2.1],[5],[2.1],[5],[5],[5],[4],[2],[4],[1.1]
[5],[0.1],[5],[5],[0.1],[2.1],[3.1],[5],[2],[2.1],[2],[5],[5],[3.1],[3.1]
[3.0999999999999996],[1.1],[5],[3.1],[4.1],[3],[3.1],[5],[1.1],[4.1],[5],[3],[3],[0.1],[2]
[5],[5],[4],[5],[2.1],[5],[4.1],[4],[4],[4.1],[1.1],[3.0999999999999996],[1.1],[2],[4.1]
[3.0999999999999996],[5],[5],[3],[2.1],[5],[5],[2],[5],[0.1],[3],[3.1],[5],[2.1],[5]
[2],[4],[5],[5],[3],[4],[5],[1],[5],[5],[3],[4.1],[3.0999999999999996],[2.1],[1.1]
[2],[4.1],[5],[2.1],[4],[5],[2.1],[5],[2],[5],[2],[1],[0.1],[0.1],[5]
[1.1],[3.1],[5],[0.1],[2],[5],[5],[2],[3],[5],[2.1],[1.1],[3],[5],[4.1]
[0.1],[5],[3],[4],[5],[3.1],[5],[0.1],[5],[4.1],[2.1],[1.1],[5],[2.1],[4]
[3.1],[3],[0.1],[5],[3.0999999999999996],[1],[3.1],[5],[5],[5],[0.1],[0.1],[1.1],[1.1],[5]
[2.1],[5],[5],[4],[4.1],[4.1],[1.1],[1.1],[2],[5],[1.1],[1],[1],[1.1],[5]
[5],[0.1],[0.1],[5],[2],[5],[2.1],[1.1],[2],[5],[0.1],[2.1],[1],[3.1],[5]
[5],[0.1],[2.1],[3.1],[5],[1.1],[2],[2],[3],[2],[3],[0.10000000000000009],[3.0999999999999996],[3.1],[5]
[1],[5],[5],[4],[4],[2.1],[3],[4.1],[0.1],[0.1],[0.1],[3],[4.1],[2.1],[1.1]
[4],[5],[5],[5],[3.1],[0.1],[1.1],[4.1],[4],[2.1],[1.1],[2],[2.1],[5],[5]
[5],[2],[3.1],[5],[3.0999999999999996],[5],[5],[5],[3],[2.1],[0.1],[3.1],[2.1],[5],[1.1]
[2],[4.1],[5],[5],[2],[5],[3.1],[5],[0.1],[2.1],[5],[3],[0.10000000000000009],[3.1],[4.1]
[5],[5],[0.1],[4],[3],[4.1],[5],[0.1],[4.1],[0.1],[3],[1.1],[5],[0.1],[5]
[0.1],[0.10000000000000009],[1],[4],[1.1],[1.1],[5],[1.1],[5],[1.1],[5],[5],[5],[5],[0.1]
[1.1],[2.1],[2],[5],[1.1],[5],[0.1],[1.1],[5],[0.1],[5],[5],[2.1],[1.1],[5]
[5],[5],[5],[1.1],[2.1],[5],[3.1],[0.1],[5],[2.1],[3.1],[0.1],[1.1],[5],[2.1]
[5],[5],[3.0999999999999996],[0.10000000000000009],[3.1],[5],[2.1],[1],[5],[4.1],[0.1],[5],[2.1],[1],[1.1]
[1],[5],[5],[5],[5],[4.1],[3.1],[1.1],[0.1],[0.1],[3.0999999999999996],[5],[2],[2],[1]
[2.1],[1],[3],[5],[1.1],[2],[5],[3],[1],[2],[0.1],[4.1],[5],[4.1],[5]
[5],[4],[3.1],[2],[2],[5],[1.1],[5],[4],[3],[0.1],[5],[5],[2.1],[5]
[5],[2.1],[1.1],[3.0999999999999996],[1],[4],[5],[3],[5],[3],[5],[5],[5],[5],[5]
[2],[5],[5],[5],[5],[5],[0.1],[5],[5],[3.1],[2.1],[4.1],[0.1],[5],[5]
[3.1],[5],[0.1],[5],[4.1],[1],[0.1],[5],[5],[5],[1.1],[0.10000000000000009],[5],[5],[3]
[2],[0.1],[0.10000000000000009],[4],[5],[2],[4.1],[2.1],[5],[5],[1.1],[0.1],[3],[4.1],[5]
[3],[1.1],[5],[5],[2],[2.1],[1.1],[5],[3],[3],[5],[5],[3.1],[0.1],[0.1]
[0.1],[5],[5],[4],[0.10000000000000009],[5],[5],[0.1],[4],[1.1],[3],[4.1],[2.1],[5],[2.1]
[5],[3.1],[5],[1.1],[0.1],[5],[5],[4],[2],[1.1],[3.1],[5],[5],[1.1],[1]
[4.1],[3.0999999999999996],[0.1],[5],[0.1],[1],[5],[5],[5],[2],[0.1],[2.1],[2.1],[5],[0.1]
[5],[5],[3],[3],[1.1],[5],[3.1],[1.1],[1.1],[3.1],[5],[4.1],[5],[2],[0.10000000000000009]
[5],[2.1],[1],[5],[2.1],[4],[1],[0.1],[2.1],[5],[3.0999999999999996],[1.1],[4.1],[0.1],[5]
[4.1],[0.1],[0.1],[5],[3.1],[2],[1],[0.1],[5],[2.1],[5],[0.1],[0.1],[5],[2.1]
[0.1],[3.1],[4.1],[5],[5],[1.1],[2],[4.1],[1.1],[1.1],[3.1],[5],[0.10000000000000009],[5],[0.1]
[0.1],[4.1],[2.1],[1.1],[4.1],[4.1],[1.1],[2.1],[2.1],[4.1],[5],[1],[2],[5],[3]
[5],[3.1],[5],[3.1],[2],[5],[0.10000000000000009],[2],[2],[5],[2.1],[2.1],[5],[4],[3.1]
[0.1],[4],[5],[5],[4.1],[3.1],[2],[2],[5],[5],[0.1],[1.1],[4.1],[4.1],[3.1]
[5],[5],[4.1],[2.1],[5],[5],[5],[1.1],[4.1],[5],[1.1],[3],[3],[5],[5]
[1.1],[5],[5],[5],[1],[5],[1],[0.1],[0.1],[5],[4],[5],[3.1],[5],[5]
[5],[1.1],[1],[5],[0.1],[2.1],[0.1],[4.1],[2],[5],[1.1],[2],[5],[5],[5]
[0.1],[2.1],[3],[0.1],[5],[5],[2.1],[0.1],[1.1],[3],[3.1],[1.1],[2],[5],[5]
[2.1],[3],[3.1],[0.10000000000000009],[1.1],[0.1],[4.1],[1.1],[5],[5],[5],[0.10000000000000009],[2.1],[5],[3]
[0.1],[5],[2.1],[5],[5],[1.1],[0.1],[3.1],[0.1],[1.1],[5],[1.1],[3.1],[4],[4]
[1.1],[3.0999999999999996],[1.1],[1],[5],[1.1],[5],[2.1],[0.1],[1.1],[4.1],[5],[5],[3.1],[5]
[2],[5],[2.1],[5],[1.1],[5],[4.1],[2.1],[5],[2],[1.1],[1.1],[4.1],[2.1],[5]
[3],[2],[3],[2.1],[2.1],[5],[2.1],[5],[0.1],[2.1],[3.1],[5],[5],[3.1],[3]
[3.1],[1.1],[0.1],[3.1],[3],[4.1],[4],[1],[4.1],[0.1],[5],[5],[3],[4],[2.1]
[3],[5],[3.1],[5],[3.0999999999999996],[2],[2],[4],[1.1],[3],[5],[4.1],[5],[1.1],[2.1]
[5],[1],[4.1],[2.1],[2.1],[0.1],[2],[4],[5],[4.1],[2],[3],[5],[5],[4]
[5],[4],[5],[3],[5],[1.1],[5],[5],[2],[0.1],[3],[5],[2.1],[0.1],[0.1]
[0.10000000000000009],[0.1],[5],[1.1],[5],[1.1],[5],[5],[1.1],[3],[2.1],[5],[4],[4],[1]
[4],[5],[1.1],[5],[0.1],[1],[0.1],[3.1],[5],[2.1],[5],[2],[2.1],[2],[0.1]
[3],[5],[2],[5],[2],[1.1],[1],[3.1],[4.1],[3],[1.1],[0.1],[5],[2.1],[5]
[3.1],[5],[1.1],[4],[5],[0.1],[2],[5],[5],[5],[2],[4.1],[2.1],[1.1],[4]
[2.1],[3],[5],[1.1],[0.1],[5],[3],[1],[5],[5],[5],[4.1],[1],[5],[2.1]
[5],[4],[1],[5],[5],[5],[5],[0.1],[0.1],[1.1],[3.1],[2],[4],[2],[2]
[2.1],[3],[1.1],[3],[3],[5],[5],[5],[2],[1.1],[3],[5],[4.1],[5],[2]
[4],[1],[4],[0.1],[1.1],[5],[5],[5],[2.1],[5],[5],[3],[5],[4],[3.1]
[5],[2.1],[5],[4.1],[3.1],[5],[1.1],[2],[5],[4],[0.1],[5],[0.1],[5],[5]
[5],[2],[5],[5],[0.1],[5],[0.1],[0.10000000000000009],[3.1],[4.1],[5],[2.1],[5],[1.1],[5]
[4.1],[0.10000000000000009],[5],[1.1],[0.1],[0.10000000000000009],[5],[3.1],[5],[0.1],[5],[5],[5],[5],[1.1]
[5],[5],[1.1],[5],[1.1],[5],[1.1],[5],[5],[5],[2.1],[0.1],[4.1],[2.1],[1.1]
[0.1],[3.1],[3.1],[2.1],[5],[2.1],[5],[5],[5],[2.1],[1.1],[5],[3],[5],[2.1]
[5],[3.1],[3.1],[5],[5],[5],[5],[5],[3.1],[4.1],[3.1],[1.1],[4.1],[4],[2.1]
[4.1],[3.0999999999999996],[4],[5],[5],[4.1],[5],[4.1],[5],[3.1],[5],[5],[3.0999999999999996],[2.1],[3]
[1],[2],[5],[5],[5],[4.1],[5],[5],[2],[2],[5],[5],[3.1],[5],[4]
[0.1],[5],[3],[2],[5],[0.1],[5],[0.1],[4.1],[5],[5],[5],[3],[5],[5]
[0.1],[5],[5],[1],[3],[0.10000000000000009],[0.1],[1.1],[5],[1.1],[5],[3],[4],[5],[5]
[5],[1.1],[2],[1.1],[1.1],[0.1],[1],[1.1],[5],[4],[0.10000000000000009],[1],[5],[5],[3]
[0.1],[5],[2],[2.1],[0.1],[2],[2.1],[0.10000000000000009],[1.1],[0.1],[5],[4],[2.1],[2.1],[5]
[3.1],[0.1],[5],[3.1],[3.1],[1.1],[0.1],[3],[3.1],[1.1],[2.1],[0.1],[5],[5],[5]
[5],[3.0999999999999996],[1.1],[4],[2.1],[5],[1],[4.1],[4.1],[1],[3.1],[0.1],[1.1],[5],[1.1]
[2],[1.1],[4.1],[2],[2.1],[2.1],[5],[5],[3],[5],[5],[1.1],[5],[4.1],[2.1]
[5],[0.1],[5],[5],[4],[3.1],[0.1],[5],[3],[2.1],[3],[3.1],[5],[2.1],[4.1]
[4.1],[4],[1.1],[4.1],[5],[5],[2.1],[5],[0.1],[4],[2],[1.1],[2],[5],[5]
[3],[5],[2.1],[5],[1],[1.1],[2.1],[2],[5],[5],[4],[0.1],[3.1],[4.1],[4.1]
[3.1],[5],[5],[2],[5],[4],[5],[3],[2.1],[3.1],[0.1],[4.1],[0.10000000000000009],[2],[5]
[5],[1.1],[5],[4.1],[3],[3.1],[4],[0.1],[5],[0.1],[1.1],[4.1],[4.1],[5],[5]
[5],[5],[1.1],[0.10000000000000009],[5],[3],[1.1],[4.1],[2.1],[2],[5],[1],[1],[5],[4]
[2.1],[3],[5],[5],[5],[1.1],[3],[1.1],[3],[1],[1],[2],[5],[5],[4]
[3.1],[5],[1],[4],[1],[2],[5],[5],[2.1],[3],[5],[5],[5],[4],[1.1]
[4],[3],[2.1],[3],[5],[5],[4],[2],[2],[4.1],[5],[3.1],[5],[5],[5]
[2.1],[5],[4],[0.1],[5],[5],[0.1],[2],[5],[3],[5],[5],[0.1],[3],[1]
[1.1],[2],[1.1],[5],[1.1],[5],[3],[2],[5],[5],[4],[5],[5],[4],[3.1]
[0.1],[0.1],[0.1],[5],[0.1],[5],[1],[4],[3],[2.1],[5],[4.1],[5],[5],[0.1]
[5],[2],[5],[5],[4],[3.1],[0.10000000000000009],[1.1],[5],[1.1],[2],[5],[0.10000000000000009],[5],[1.1]
[5],[1.1],[2.1],[0.10000000000000009],[0.1],[5],[1],[0.1],[0.1],[5],[0.1],[5],[5],[2],[4.1]
[5],[2.1],[1.1],[5],[0.1],[5],[1.1],[3],[3.1],[1.1],[5],[2],[2],[1.1],[5]
[5],[4.1],[5],[0.1],[5],[5],[2.1],[5],[0.1],[2],[3.1],[0.10000000000000009],[1.1],[4],[2.1]
[2],[5],[3.1],[3],[5],[5],[1.1],[1.1],[5],[5],[1.1],[5],[3.1],[2.1],[4.1]
[5],[5],[1],[0.1],[4.1],[2.1],[0.1],[5],[4.1],[3.1],[5],[5],[5],[1],[3]
[2],[4.1],[5],[0.1],[5],[5],[0.10000000000000009],[5],[5],[5],[0.1],[5],[5],[2],[3.1]
[4.1],[1.1],[5],[2],[5],[3],[3],[5],[5],[0.1],[0.1],[5],[5],[5],[1.1]
[0.1],[5],[0.1],[5],[0.1],[3],[0.1],[5],[4],[1.1],[2.1],[3],[5],[5],[5]
[0.10000000000000009],[0.1],[5],[1.1],[5],[0.10000000000000009],[0.1],[0.1],[3.1],[5],[4],[5],[5],[3],[5]
[1.1],[3.0999999999999996],[5],[0.1],[5],[5],[1.1],[5],[0.1],[2],[1.1],[0.1],[1.1],[1.1],[5]
[2.1],[5],[5],[1.1],[3],[1.1],[2.1],[4.1],[2.1],[0.1],[0.1],[5],[1.1],[5],[2]
[2.1],[5],[3.1],[5],[1.1],[2.1],[3.1],[4],[5],[3.1],[0.1],[0.1],[3],[2],[5]
[5],[4.1],[0.1],[1.1],[0.1],[0.1],[1.1],[0.1],[5],[4.1],[5],[5],[3.1],[2],[5]
[2.1],[1.1],[5],[1.1],[2],[5],[0.1],[1.1],[1],[0.1],[0.10000000000000009],[5],[3],[5],[2]
[0.10000000000000009],[1],[5],[5],[1.1],[1.1],[3],[2.1],[0.1],[2],[2.1],[3.1],[5],[3],[2.1]
[5],[2],[5],[2.1],[0.1],[3.1],[1.1],[4.1],[1.1],[2],[5],[0.1],[3.1],[0.1],[3.1]
[3.1],[4.1],[4.1],[3.0999999999999996],[1.1],[5],[1.1],[2.1],[5],[1.1],[0.1],[5],[2.1],[3],[5]
[1.1],[4],[2.1],[2.1],[5],[5],[5],[4.1],[2.1],[5],[5],[0.1],[1],[3.1],[3.1]
[4.1],[5],[2],[5],[0.1],[3.1],[4.1],[3.1],[1],[2.1],[5],[1.1],[0.1],[5],[5]
[4.1],[3.0999999999999996],[5],[5],[5],[5],[1.1],[1.1],[5],[2.1],[2.1],[5],[0.1],[3],[2]
[0.1],[5],[3],[4],[5],[4.1],[2],[5],[3.1],[5],[5],[1.1],[2.1],[0.1],[2.1]
[3],[5],[5],[2.1],[1.1],[3.1],[4.1],[4],[5],[5],[5],[1.1],[5],[0.1],[5]
[0.1],[5],[1.1],[2],[2.1],[5],[5],[4.1],[5],[5],[4],[5],[5],[5],[1.1]
[2],[1.1],[1],[2.1],[5],[5],[3.1],[5],[5],[5],[2.1],[5],[5],[5],[5]
[3],[5],[5],[5],[5],[1],[5],[3.1],[1],[2],[5],[2.1],[3.1],[5],[4.1]
[1],[3.1],[2],[2],[4.1],[5],[4.1],[5],[5],[5],[5],[2],[4],[5],[5]
[4.1],[5],[4],[2],[0.1],[5],[5],[3],[3],[4.1],[3],[5],[5],[2],[5]
[4],[5],[5],[0.10000000000000009],[4],[4],[5],[5],[5],[5],[0.1],[5],[5],[0.1],[3]
[0.1],[5],[5],[1.1],[5],[5],[4],[5],[1.1],[5],[5],[5],[5],[3],[1.1]
[4],[1.1],[2.1],[5],[5],[5],[2.1],[2],[1],[0.1],[5],[5],[5],[5],[5]
[1.1],[0.1],[5],[5],[5],[5],[3],[5],[3.1],[2],[1.1],[5],[3.1],[5],[2]
[5],[5],[4.1],[5],[4.1],[3],[5],[4],[5],[2.1],[1.1],[1],[2.1],[0.1],[2]
[5],[5],[2.1],[5],[3.1],[5],[0.1],[2],[4.1],[3],[5],[0.1],[1.1],[5],[4]
[4.1],[0.10000000000000009],[2.1],[5],[5],[5],[5],[3],[5],[1.1],[5],[2],[3.1],[3],[5]
[4],[0.10000000000000009],[5],[2.1],[3.1],[5],[3],[2],[4.1],[5],[5],[5],[5],[4],[0.1]
[5],[5],[4.1],[0.1],[0.1],[1.1],[5],[5],[1.1],[5],[3],[4],[5],[2.1],[5]
[2.1],[3.1],[5],[1.1],[5],[1.1],[2],[0.1],[2.1],[5],[5],[0.1],[5],[5],[5]
[5],[3.1],[2.1],[4.1],[1.1],[3.1],[5],[0.1],[1.1],[0.1],[5],[5],[3],[1.1],[5]
[5],[2.1],[1.1],[1.1],[0.1],[4.1],[2.1],[1],[4],[5],[3],[4.1],[1.1],[5],[0.1]
[5],[1.1],[2],[3.1],[0.1],[5],[0.10000000000000009],[3.1],[5],[5],[2.1],[5],[4],[1.1],[5]
[1.1],[2.1],[5],[5],[1],[1],[4.1],[0.10000000000000009],[3],[4.1],[5],[5],[3.1],[5],[2.1]
[5],[0.1],[4.1],[3],[2],[3.1],[2],[0.10000000000000009],[3],[2],[4],[5],[4.1],[5],[1.1]
[1],[5],[3],[5],[0.1],[5],[3],[1.1],[1.1],[4.1],[3],[0.1],[5],[2.1],[5]
